index,input,identity_level,old_exact_urls,old_exact_url_in_new_raw,old_exact_url_in_new_candidates,new_exact_candidate_urls,candidate_decisions,page_check_selection,page_load_observed,operator_verdict,main_product_verdict,js_shell_observed,provider_blocked,provider_timeout,budget_over_75s,fetch_limit,current_adjudication,current_primary_page_evidence,current_operator_evidence
1,Bosch WAN28254GB,sku,https://www.bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB | https://www.bosch-home.com/mt/en/mkt-product/washers-dryers/washing-machines/frontloader/WAN28254GB | https://www.bosch-home.ie/en/mkt-product/washers-and-dryers/washing-machines/front-loading-washing-machines/WAN28254GB,3,3,https://bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB | https://bosch-home.com/mt/en/mkt-product/washers-dryers/washing-machines/frontloader/WAN28254GB | https://bosch-home.ie/en/mkt-product/washers-and-dryers/washing-machines/front-loading-washing-machines/WAN28254GB | https://currys.co.uk/products/bosch-series-4-wan28254gb-8-kg-1400-spin-washing-machine-white-10301999.html | https://applianceworldonline.com/products/bosch-wan28254gb-white-8kg-washing-machine-1400rpm-a-energy | https://ebmarsh.com/product/wan28254gb-8-kg-1400-spin-washing-machine-296wan28254gb | https://johnlewis.com/bosch-series-4-wan28254gb-freestanding-washing-machine-8kg-load-1400rpm-spin-white/p115205361 | https://manualypdf.cz/bosch/wan28254gb/manu%C3%A1l | https://markselectrical.co.uk/wan28254gb_bosch-washing-machine | https://sparkworld.co.uk/bosch-wan28254gb-white-1000008516 | https://televisionhouse.co.uk/bosch-wan28254gb-white-56497.html | https://theappliancedepot.co.uk/graded-bosch-wan28254gb-series-4-white-8kg-washing-machine-b-75513 | https://media3.bosch-home.com/Documents/specsheet/en-GB/WAN28254GB.pdf,secondary:exact:provisional:https://bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB | secondary:exact:provisional:https://bosch-home.com/mt/en/mkt-product/washers-dryers/washing-machines/frontloader/WAN28254GB | secondary:exact:provisional:https://bosch-home.ie/en/mkt-product/washers-and-dryers/washing-machines/front-loading-washing-machines/WAN28254GB,https://bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB:provisional_top4 | https://bosch-home.com/mt/en/mkt-product/washers-dryers/washing-machines/frontloader/WAN28254GB:provisional_top4 | https://bosch-home.ie/en/mkt-product/washers-and-dryers/washing-machines/front-loading-washing-machines/WAN28254GB:provisional_top4,not_recorded,unknown,not_recorded,False,6,2,True,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB,https://media3.bsh-group.com/Documents/9001351957_A.pdf
3,Samsung RB38C7B6AS9,sku,https://www.samsung.com/fr/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef/ | https://www.samsung.com/es/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef/,2,2,https://samsung.com/cz/support/model/RB38C7B6AS9/EF | https://samsung.com/uk/support/model/RB38C7B6AS9/EF | https://samsung.com/es/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef | https://samsung.com/fr/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef | https://manualslib.com/products/Samsung-Rb38c7b6as9-14192478.html | https://manua.ls/samsung/rb38c7b6as9/manual | https://manualsarea.com/samsung-rb38c7b6as9-user-manual-761357 | https://manualscat.com/en/samsung-rb38c7b6as9-manual | https://manualslib.com/manual/3558848/Samsung-Rb38c7b6as9.html | https://onlineshop.cz/kombinovane-chladnicky/s-mrazakem-dole/chladnicka-samsung-rb38c7b6as9-ef-1138899P.html | https://allegro.cz/produkt/jednodverova-chladnicka-samsung-rb38c7b6as9-ef-f71994a1-c4bf-4a7f-ba27-9b38fb092c81 | https://alza.cz/samsung-bespoke-rb38c7b6as9-ef-d7761152.htm | https://arecenze.cz/samsung-rb38c7b6as9 | https://cena-vykon.cz/lednice/samsung-rb38c7b6as9 | https://datart.cz/chladnicka-s-mraznickou-samsung-rb38c7b6as9-ef-bespoke-stribrna.html | https://lednice.heureka.cz/samsung-rb38c7b6as9?haff=278002 | https://planeo.cz/samsung-rb38c7b6as9-ef | https://tsbohemia.cz/samsung-rb38c7b6as9_d496534 | https://zbozi.cz/vyrobek/samsung-bespoke-rb38c7b6as9-ef,secondary:exact:provisional:https://samsung.com/es/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef | secondary:exact:provisional:https://samsung.com/fr/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef,https://samsung.com/es/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef:provisional_top4 | https://samsung.com/fr/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef:provisional_top4,not_recorded,unknown,not_recorded,False,5,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
4,Electrolux EOD6P77WX,sku,https://electrolux.bg/kitchen/cooking/ovens/oven/eod6p77wx | https://shop.electrolux.co.uk/model/m/EOD6P77WX,2,2,https://electrolux.bg/kitchen/cooking/ovens/oven/eod6p77wx | https://shop.electrolux.co.uk/model/m/EOD6P77WX | https://manualslib.com/products/Electrolux-Eod6p77wx-13291007.html | https://manua.ls/electrolux/eod6p77wx/manual | https://manual.nz/electrolux/eod6p77wx/manual | https://manualslib.com/manual/3063829/Electrolux-Eod6p77wx.html | https://manualslib.com/manual/3391216/Electrolux-Eod6p77wx.html | https://onlineshop.cz/parni-trouby/trouba-electrolux-eod6p77wx-1187030P.html | https://onlineshop.cz/vyhodne-sety-vestavnych-kuchynskych-spotrebicu/set-trouba-electrolux-eod6p77wx-mikrovlnna-trouba-electrolux-600-flex-lms4253tmx-indukcni-deska-elec-1299233P.html | https://allegro.cz/produkt/elektricka-parni-trouba-electrolux-600-steambake-eod6p77wx-s-horkovzduchem-d74e8cdf-0c64-4661-aabf-580d25c05ba2 | https://allusermanuals.com/appliances/walloven/electrolux/eod6p77wx | https://beepitheto-suto.arukereso.hu/electrolux/eod6p77wx-steambake-p650326542 | https://elektrocz.com/p280210-electrolux-eod6p77wx-2.jakost | https://tsbohemia.cz/electrolux-eod6p77wx_d384007 | https://zbozi.cz/vyrobek/electrolux-eod6p77wx | https://zbozi.cz/vyrobek/electrolux-eod6p77wx-eiv634 | https://datart.cz/trouba-electrolux-600-pro-eod6p77wx-cerna-nerez,secondary:exact:provisional:https://electrolux.bg/kitchen/cooking/ovens/oven/eod6p77wx | secondary:exact:provisional:https://shop.electrolux.co.uk/model/m/EOD6P77WX,https://electrolux.bg/kitchen/cooking/ovens/oven/eod6p77wx:provisional_top4 | https://shop.electrolux.co.uk/model/m/EOD6P77WX:provisional_top4,not_recorded,unknown,not_recorded,False,10,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.electrolux.bg/kitchen/cooking/ovens/oven/eod6p77wx/,https://www.electrolux.bg/overlays/terms-and-conditions/
5,AEG IKE64441FB,sku,https://aeg.fr/kitchen/cooking/hobs/induction-hob/ike64441fb,1,1,https://aeg.fr/kitchen/cooking/hobs/induction-hob/ike64441fb | https://manualslib.com/products/Aeg-Ike64441fb-12021451.html | https://aeg.manymanuals.com/hobs/ike64441fb/user-manual-28193 | https://manua.ls/aeg/ike64441fb/manual | https://manuals.plus/aeg/ike64441fb-induction-hob-manual | https://manuals.plus/aeg/ike64441fb-induction-hob-manual.pdf | https://manualshelf.com/manual/aeg/ike64441fb/1-user-manual-english.html | https://manualslib.com/manual/2329129/Aeg-Ike64441fb.html | https://manualzz.com/doc/51450492/aeg-ike64441fb-user-manual | https://manualzz.com/doc/66220116/aeg-ike64441fb-induction-hob-user-manual | https://business.currys.co.uk/catalogue/domestic-appliances/cooking/ceramic-hobs/aeg-ike64441fb-59-cm-electric-induction-hob-black/B234666B | https://onlineshop.cz/indukcni-varne-desky/indukcni-deska-aeg-mastery-bridge-ike64441fb-1102732P.diskuse.html | https://alta.ge/en/built-in-appliances/aeg-ike64441fb-p29136 | https://alza.cz/aeg-mastery-bridge-ike64441fb-d7619326.htm | https://apollos.cz/produkt/aeg-ike64441fb | https://datart.cz/bazar/indukcni-varna-deska-aeg-serie-6000-ike64441fb-cerna-s-mirnym-poskozenim-12-mesicu-zaruka | https://johnlewis.com/aeg-ike64441fb-induction-hob-black/p4275490 | https://oaza.cz/aeg-ike64441fb-p2rsfdt0c | https://planeo.cz/aeg-ike64441fb | https://tsbohemia.cz/aeg-ike64441fb_d524749 | https://varne-desky.heureka.cz/aeg-ike64441fb/pridat-externi-recenzi | https://zbozi.cz/vyrobek/aeg-ike64441fb | https://zbozi.cz/vyrobek/aeg-ike64441fb/vsechny-recenze,secondary:exact:provisional:https://aeg.fr/kitchen/cooking/hobs/induction-hob/ike64441fb,https://aeg.fr/kitchen/cooking/hobs/induction-hob/ike64441fb:provisional_top4,not_recorded,unknown,not_recorded,False,10,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.aeg.fr/kitchen/cooking/hobs/induction-hob/ike64441fb/,https://www.aeg.fr/overlays/shop-terms-and-conditions/
6,Miele TWD260WP,sku,https://miele.ae/product/12179550/t1-heat-pump-dryer-twd260wp-8kg | https://miele.co.uk/product/11871790/t1-heat-pump-dryer-twd260wp-8kg-lotus-white | https://miele.fr/product/11848770/seche-linge-pompe-a-chaleur-t1-twd260wp-8kg-blanc-lotus,3,3,https://miele.ae/product/12179550/t1-heat-pump-dryer-twd260wp-8kg | https://miele.co.uk/product/11871790/t1-heat-pump-dryer-twd260wp-8kg-lotus-white | https://miele.fr/product/11848770/seche-linge-pompe-a-chaleur-t1-twd260wp-8kg-blanc-lotus | https://miele.es/product/11845050/secadora-de-bomba-de-calor-t1-twd260wp-8kg-blanco-loto | https://manualslib.com/products/Miele-Twd260wp-13584669.html | https://egofile.com/manuals/miele/twd260wp | https://manualshelf.com/manual/miele-tumble-dryers-heat-pump-dryers/twd260wp-8kg/product-sheet-english.html | https://manualshelf.com/manual/miele-tumble-dryers-heat-pump-dryers/twd260wp-8kg/user-manual-english.html | https://manualshelf.com/manual/miele/twd260wp-8kg/fs-twd260wp-8kg-gb-en-gb-english.html | https://manualshelf.com/manual/miele/twd260wp-8kg/user-manual-english.html | https://manualslib.com/manual/3225503/Miele-Twd260wp.html | https://onlineshop.cz/kondenzacni-susicky-pradla/susicka-pradla-miele-twd260wp-988692P.html | https://onlineshop.cz/kondenzacni-susicky-pradla/susicka-pradla-miele-twd260wp-988692P.recenze.html | https://elektro-kutilek.cz/miele-twd260wp | https://elektrocz.com/p278255-miele-twd260wp-8kg | https://elektrocz.com/p278676-miele-wwg360-wcs-pwash-9kg-twd260wp-8kg | https://manualzz.com/doc/o/2mh4oa/miele-twd260wp-8kg-t1-heat-pump-dryer-operating-instructions-installation | https://manualzz.com/doc/o/2mh4oj/miele-twd260wp-8kg-t1-heat-pump-dryer-operating-instructions-loading-the-laundry | https://nemeckespotrebice.cz/p284670-miele-twd260wp-8kg-z-vystavky | https://recenze-a-testy.cz/recenze/miele-twd260wp-recenze | https://susicky.heureka.cz/miele-twd260wp | https://zbozi.cz/vyrobek/miele-twd260wp,secondary:exact:provisional:https://miele.ae/product/12179550/t1-heat-pump-dryer-twd260wp-8kg | secondary:exact:provisional:https://miele.co.uk/product/11871790/t1-heat-pump-dryer-twd260wp-8kg-lotus-white | secondary:exact:provisional:https://miele.fr/product/11848770/seche-linge-pompe-a-chaleur-t1-twd260wp-8kg-blanc-lotus,https://miele.ae/product/12179550/t1-heat-pump-dryer-twd260wp-8kg:provisional_top4 | https://miele.co.uk/product/11871790/t1-heat-pump-dryer-twd260wp-8kg-lotus-white:provisional_top4 | https://miele.fr/product/11848770/seche-linge-pompe-a-chaleur-t1-twd260wp-8kg-blanc-lotus:provisional_top4,not_recorded,unknown,not_recorded,False,7,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.miele.co.uk/product/11871790/t1-heat-pump-dryer-twd260wp-8kg-lotus-white,https://www.miele.com/de/com/2185.htm
8,DeLonghi Eletta Explore ECAM450.86.T,sku,https://delonghi.ru/product/kofemashinaa-delonghi-ecam450-86-t/,1,1,https://delonghi.com/it-it/p/eletta-explore-macchina-automatica-per-caffe-in-chicchi-eletta-explore-ecam450.86.t-ex4/ECAM450.86.T+EX:4.html?pid=0132250153 | https://delonghi.ru/product/kofemashinaa-delonghi-ecam450-86-t,secondary:exact:provisional:https://delonghi.ru/product/kofemashinaa-delonghi-ecam450-86-t,https://delonghi.ru/product/kofemashinaa-delonghi-ecam450-86-t:provisional_top4,not_recorded,unknown,not_recorded,False,2,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
10,Dyson V15 Detect,model,https://www.dyson.hk/zh-HK/products/cord-free/dyson-v15-detect/overview,1,1,https://dyson.com.au/products/vacuum-cleaners/stick-vacuums/dyson-v15-detect/overview | https://dyson.com.au/products/vacuum-cleaners/stick-vacuums/dyson-v15-detect/owners-guide | https://dyson.com.au/products/vacuum-cleaners/stick-vacuums/dyson-v15-detect/shop-all | https://dyson.hk/zh-HK/products/cord-free/dyson-v15-detect/overview | https://dyson.com/support/vacuum-cleaners/cordless/v15-detect | https://dyson.co.uk/discover/archive/2021/inside-the-tech-v15-detect | https://dyson.com.au/dyson-v15-detect-total-clean | https://dyson.com/vacuum-cleaners/cordless/v15/detect-yellow | https://dyson.co.uk/vacuum-cleaners/cordless/v15/detect-yellow-nickel | https://dyson.com/commercial/vacuums/dyson-v15-detect | https://support.dyson.com.au/supportHome/Vacuums/Cordless/v15-detect/394092-01/how-to-use-your-machine/download-the-user-guide | https://bestbuy.com/product/dyson-v15-detect-cordless-vacuum-with-8-accessories-yellow-nickel/J3ZCSYCVPL | https://support.kr.dyson.com/SupportHome/Vacuums/Cordless/v15-detect | https://support.kr.dyson.com/supporthome.aspx/Vacuums/Cordless/v15-detect/369476-01/troubleshooting/unusual-smell | https://support.kr.dyson.com/supporthome.aspx/Vacuums/Cordless/v15-detect/479335-01 | https://support.kr.dyson.com/supporthome/Vacuums/Cordless/v15-detect/368369-01/troubleshooting/clear-the-bin-374206 | https://abt.com/Dyson-V15-Detect-Cordless-Vacuum-62641701/p/243963.html | https://bajajfinserv.in/bmall/dyson-v15-detect-240w-cordless-dry-vacuum-cleaner-yellow-and-nickel-447113-01/p/29185 | https://builtwith.com/ko/ecommerce/products/Dyson-V15-Detect-Cordless-Vacuum | https://costco.com/p/-/dyson-v15-detect-total-clean-extra-cordless-stick-vacuum/4000177472 | https://homedepot.com/p/Dyson-V15-Detect-Bagless-Cordless-Washable-Filter-Stick-Vacuum-for-Multi-Surface-with-Illumination-626417-01/342657001 | https://support.kr.dyson.com/SupportHome/Vacuums/Cordless/v15-detect/368369-01/how-to-use-your-machine/check-the-bin-inlet | https://beebom.com/dyson-v15-detect-cord-free-vacuum-cleaner-launched-india | https://ko.ifixit.com/Device/Dyson_V15_Detect | https://lowes.com/pd/Dyson-V15-Detect-Portable-Cordless-Pet-Stick-Vacuum-Cleaner-Cordless-Pet-Stick-Vacuum-Cleaner-Convertible-to-Handheld/5018940111 | https://popularmechanics.com/home/tools/a71293377/dyson-v15-detect-stick-vacuum-green-laser | https://walmart.com/ip/Dyson-V15-Detect-Cordless-Vacuum-Yellow-Nickel-New-Newest-Gen/20037872945 | https://yours.co.uk/life/home/dyson-v15-detect | https://amazon.com/Dyson-V15-Detect-Cordless-Vacuum/dp/B0GXX8KQY7 | https://ebay.com/b/Dyson-V15-Detect/20614/bn_7117725207,secondary:exact:provisional:https://dyson.hk/zh-HK/products/cord-free/dyson-v15-detect/overview,https://dyson.hk/zh-HK/products/cord-free/dyson-v15-detect/overview:provisional_top4,not_recorded,unknown,not_recorded,False,4,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
13,Tefal Ultimate Pure FV9845,sku,https://www.tefal.co.uk/Linen-Care/Steam-Irons/Professional-Results/Ultimate-Pure-FV9845-Steam-Iron-Black-&-Rose-Gold/p/1830007280 | https://www.tefal.com/Linen-Care/Steam-Irons/ULTIMATE-PURE-FV9845/p/1830006927 | https://tefal.ru/product/utyug-tefal-ultimate-pure-fv9845_1,3,3,https://tefal.co.uk/Linen-Care/Steam-Irons/Professional-Results/Ultimate-Pure-FV9845-Steam-Iron-Black-&-Rose-Gold/p/1830007280 | https://tefal.com/Linen-Care/Steam-Irons/ULTIMATE-PURE-FV9845/p/1830006927 | https://tefal.ru/product/utyug-tefal-ultimate-pure-fv9845_1,secondary:exact:provisional:https://tefal.co.uk/Linen-Care/Steam-Irons/Professional-Results/Ultimate-Pure-FV9845-Steam-Iron-Black-&-Rose-Gold/p/1830007280 | secondary:exact:provisional:https://tefal.com/Linen-Care/Steam-Irons/ULTIMATE-PURE-FV9845/p/1830006927 | secondary:exact:provisional:https://tefal.ru/product/utyug-tefal-ultimate-pure-fv9845_1,https://tefal.co.uk/Linen-Care/Steam-Irons/Professional-Results/Ultimate-Pure-FV9845-Steam-Iron-Black-&-Rose-Gold/p/1830007280:provisional_top4 | https://tefal.com/Linen-Care/Steam-Irons/ULTIMATE-PURE-FV9845/p/1830006927:provisional_top4 | https://tefal.ru/product/utyug-tefal-ultimate-pure-fv9845_1:provisional_top4,not_recorded,unknown,not_recorded,False,6,1,False,provisional fetch outcomes were not archived; blocking cannot be inferred,unknown,,
16,ASUS RT-BE88U,sku,https://www.asus.com/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/ | https://www.asus.com/us/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/ | https://eshop.asus.com/us/90ig08v0-ma1n0v-rt-be88u.html | https://uk.store.asus.com/rt-be88u-240147760-90ig08v0-mo3n0v.html,4,4,https://asus.com/au/networking-iot-servers/wifi-routers/asus-wifi-routers/rt-be88u | https://asus.com/ea-sw/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/helpdesk_knowledge?model2Name=RT-BE88U | https://asus.com/my/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/where-to-buy | https://asus.com/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u | https://asus.com/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/techspec | https://asus.com/nl/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u | https://asus.com/no/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u | https://asus.com/nz/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u | https://asus.com/nz/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/where-to-buy | https://asus.com/sg/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u | https://asus.com/us/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u | https://eshop.asus.com/us/90ig08v0-ma1n0v-rt-be88u.html | https://uk.store.asus.com/rt-be88u-240147760-90ig08v0-mo3n0v.html | https://zentalk.asus.com/t5/networking/ipsec-vpn-rtbe88u/td-p/511234 | https://galaxus.fr/en/s1/product/asus-wl-router-rt-be88u-routers-44851730 | https://adorama.com/asus-rt-be88u-be7200-dual-band-wifi-7-router-black/p/asrtbe88u | https://bhphotovideo.com/c/product/1834276-REG/asus_rt_be88u_dual_band_wifi_7_aimesh.html | https://manualslib.com/products/Asus-Rt-Be88u-14339532.html | https://newegg.com/asus-rt-be88u-ieee-802-11a-ieee-802-11b-ieee-802-11g-wifi-4-wifi-5-wifi-6-wifi-6e-wifi-7-ipv4-ipv6/p/N82E16833320598 | https://manua.ls/asus/rt-be88u/manual | https://manualowl.com/p/Asus/RT-BE88U/Manual/379703 | https://manuals.plus/asus/rt-be88u-wifi-routers-manual | https://manualslib.com/guide/3688169/asus-rt-be88u-manual.html | https://au.pcmag.com/wireless-routers/106772/asus-rt-be88u | https://ko.manuals.plus/tag/rt-be88u | https://manuals.plus/ko/tag/rt-be88u | https://topcpu.net/en/router-c/asus-rt-be88u-vs-asus-rt-be96u | https://topcpu.net/en/router-c/asus-rt-be88u-vs-xiaomi-be10000 | https://amazon.ca/RT-BE88U-Dual-Band-Extendable-Performance-Capacity/dp/B0D55SWRSM | https://amazon.com/ASUS-RT-BE88U-Dual-Band-Extendable-Performance/dp/B0D55SWRSM | https://amazon.com/ASUS-RT-BE88U-Dual-Band-Extendable-Performance/dp/B0F4BDT76J,secondary:exact:provisional:https://asus.com/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u | secondary:exact:provisional:https://asus.com/us/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u | secondary:exact:provisional:https://eshop.asus.com/us/90ig08v0-ma1n0v-rt-be88u.html | secondary:exact:provisional:https://uk.store.asus.com/rt-be88u-240147760-90ig08v0-mo3n0v.html,https://asus.com/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u:provisional_top4 | https://asus.com/us/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u:not_selected | https://eshop.asus.com/us/90ig08v0-ma1n0v-rt-be88u.html:not_selected | https://uk.store.asus.com/rt-be88u-240147760-90ig08v0-mo3n0v.html:not_selected,not_recorded,unknown,not_recorded,False,3,3,True,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_current_false_refusal,https://www.asus.com/us/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/,https://www.asus.com/terms_of_use_notice_privacy_policy/official-site/
17,TP-Link Deco BE85,model,https://www.tp-link.cz/cs/296056-tp-link-deco-be85-2ks | https://www.tp-link.cz/cs/300990-tp-link-deco-be85-1ks,2,2,https://tp-link.cz/cs/296056-tp-link-deco-be85-2ks | https://tp-link.cz/cs/300990-tp-link-deco-be85-1ks | https://tplink.com.az/en/product/deco-be85 | https://static.tp-link.com/upload/product-overview/2023/202304/20230428/Deco BE85 (EU)1.0_Datasheet.pdf | https://manua.ls/tp-link/deco-be85/manual | https://manualslib.com/manual/3057025/Tp-Link-Deco-Be85.html | https://bikmantech.com/blogs/blogs/tp-link-deco-be85-everything-you-need-to-know,dealers:exact:verified:https://tp-link.cz/cs/296056-tp-link-deco-be85-2ks | dealers:exact:verified:https://tp-link.cz/cs/300990-tp-link-deco-be85-1ks,https://tp-link.cz/cs/296056-tp-link-deco-be85-2ks:not_selected | https://tp-link.cz/cs/300990-tp-link-deco-be85-1ks:not_selected,not_recorded,independent_distributor,not_recorded,False,1,0,False,provisional fetch outcomes were not archived; blocking cannot be inferred,confirmed_old_exact_invalid_distributor,,
