index,input,product_url,identity_verdict,first_party_verdict,operator_evidence_url,identity_evidence,reviewed_on,notes
2,Siemens SN23EI03ME,https://www.siemens-home.bsh-group.com/uk/en/mkt-product/SN23EI03ME,confirmed,confirmed,https://press.siemens-home.bsh-group.com/,Primary product page names the full SKU,2026-09-20,BSH operates Siemens home appliances
7,Haier HCR5919EHMB,https://www.haier-europe.com/en_GB/products/34005047-hcr5919ehmb-uk,confirmed,confirmed,https://corporate.haier-europe.com/our-brands/haier/,Product name and commercial code HCR5919EHMB,2026-09-20,Haier Europe brand site
12,Roborock S8 MaxV Ultra,https://us.roborock.com/products/roborock-s8-maxv-ultra,confirmed,confirmed,https://us.roborock.com/pages/roborock-store,Primary heading names S8 MaxV Ultra,2026-09-20,Store warranty identifies Roborock Technology as seller
14,Braun MultiQuick 9 MQ9187XLI,https://www.braunhousehold.com/en/p/multiquick-9-multiquick-9-hand-blender-mq-9187xli/HB901-MQ9187XLI.html,confirmed,confirmed,https://www.delonghigroup.com/en/brand/braun,Primary heading names MQ 9187XLI and URL carries compact code,2026-09-20,De Longhi licensed household-appliance operator
19,NETGEAR GS308EP,https://www.netgear.com/business/wired/switches/easy-smart/gs308ep,confirmed,confirmed,https://investor.netgear.com/home/default.aspx,Primary page names GS308EP,2026-09-20,NETGEAR corporate and product host
23,Razer DeathAdder V3,https://www.razer.com/gaming-mice/razer-deathadder-v3,confirmed,confirmed,https://www.razer.com/legal/general-terms-of-use,Primary page names DeathAdder V3 without HyperSpeed,2026-09-20,Razer Inc legal terms identify operator of razer.com
33,Corsair RM850x,https://www.corsair.com/br/pt/p/psu/cp-9020270-ww/rmx-series-rm850x-fully-modular-power-supply-ww-cp-9020270-ww,confirmed,confirmed,https://ir.corsair.com/,Primary page names RM850x WW and SKU CP-9020270-WW,2026-09-20,RM850x family request; selected WW commercial variant must retain its own provenance
43,Frostbite Drench 39ML,https://fishfrostbite.com/products/drench-39ml,confirmed,unknown,https://fishfrostbite.com/pages/contact,Primary heading names Drench 39ML,2026-09-20,Brand/operator relationship chiefly self-described; independent corroboration limited
44,Nautilus X Series XL MAX,https://www.nautilusreels.com/products/x-series-xl-max,confirmed,unknown,https://www.nautilusreels.com/pages/about,Primary heading names X Series XL MAX,2026-09-20,Brand/operator relationship chiefly self-described; external company profile is limited corroboration
50,CeraVe Hydrating Facial Cleanser,https://www.cerave.com/skincare/cleansers/hydrating-facial-cleanser,confirmed,confirmed,https://www.cerave.com/accessibility-statement,Primary heading names Hydrating Facial Cleanser,2026-09-20,CeraVe site names L Oreal as website operator
